Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Lucario,82.8,448,fighting,steel,145.8,95.6,110,1532231,20.5,1494,Counter,Blaze Kick,Shadow Ball,6,8,5,75000
Quaquaval,82.8,914,water,fighting,137.9,97.1,121,1620197,18.5,1496,Wing Attack,Close Combat,Aerial Ace,6,5,3,10000
Sandslash (Shadow),82.6,28,ground,none,120.5,121.1,126,1837863,23.5,1493,Mud Shot,Night Slash,Scorching Sands,4,6,3,50000
Scizor (Shadow),82.6,212,bug,steel,137.9,110.3,106,1612512,18.5,1497,Bullet Punch,X-Scissor,Night Slash,6,5,5,75000
Zygarde (50% Forme),82.6,718,dragon,ground,112.3,131.3,135,1991298,16.5,1496,Dragon Tail,Crunch,Earthquake,5,8,20,100000
Ampharos (Shadow),82.5,181,electric,none,127.4,106.8,129,1754935,19.5,1499,Volt Switch,Thunder Punch,Trailblaze,3,4,5,75000
Florges,82.5,671,fairy,none,120.1,142.1,109,1859855,17,1494,Fairy Wind,Disarming Voice,Petal Blizzard,5,8,3,50000
Bombirdier,82.3,962,flying,dark,128,115.3,118,1741817,22.5,1496,Wing Attack,Fly,Payback,6,8,5,75000
Girafarig,82.3,203,normal,psychic,129.1,102.7,129,1711052,27,1486,Double Kick,Psychic Fangs,Thunderbolt,3,5,3,50000
Marowak (Shadow),82.3,105,ground,none,110.8,145,126,2025310,32,1500,Mud Slap,Rock Slide,Bone Club,5,4,3,50000
Melmetal,82.3,809,steel,none,121.5,107.8,141,1846977,15.5,1500,Thunder Shock,Superpower,Rock Slide,5,5,20,100000
Slowbro (Galarian),82.3,80,poison,psychic,119.1,108.4,145,1871629,22.5,1493,Poison Jab,Surf,Sludge Bomb,6,8,3,50000
Tentacruel (Shadow),82.3,73,water,poison,110.1,139.9,132,2032660,23.5,1496,Poison Jab,Acid Spray,Scald,7,8,3,50000
Dedenne,82.2,702,electric,fairy,124.2,108.7,133,1795844,30.5,1497,Thunder Shock,Discharge,Play Rough,5,7,3,50000
Gengar,82.2,94,ghost,poison,156.6,94.3,97,1433181,19,1500,Shadow Claw,Shadow Ball,Shadow Punch,7,5,3,50000
Sealeo,82.2,364,ice,water,108.6,113.2,167,2053854,36.5,1497,Powder Snow,Body Slam,Aurora Beam,5,8,3,50000
Servine,82.2,496,grass,none,107.2,137.4,142,2092314,49.5,1500,Vine Whip,Grass Knot,Wrap,7,6,3,10000
Swoobat,82.2,528,psychic,flying,126.9,100.9,138,1767259,35.5,1499,Confusion,Psychic Fangs,Aerial Ace,3,4,1,10000
Venusaur (Shadow),82.2,3,grass,poison,122.5,121.9,122,1820851,20,1496,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Weezing (Galarian),82.2,110,poison,fairy,118.4,138.9,115,1889997,24.5,1495,Fairy Wind,Play Rough,Brutal Swing,7,5,3,50000
Genesect,82,649,bug,steel,141.1,111.7,100,1575465,16,1498,Fury Cutter,X-Scissor,Techno Blast (Normal),10,14,20,100000
Graveler (Alolan),82,75,rock,electric,122.9,127.3,117,1831093,30,1500,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Nidorina (Shadow),82,30,poison,none,110.9,113.4,157,1975496,50,1480,Poison Sting,Dig,Poison Fang,6,5,3,50000
Sceptile (Shadow),82,254,grass,none,136.9,108.5,110,1633945,19.5,1497,Bullet Seed,Leaf Blade,Earthquake,3,5,3,10000
Torterra (Shadow),82,389,grass,ground,120.5,117.6,131,1857185,19,1496,Razor Leaf,Frenzy Plant,Stone Edge,12,14,3,10000
Cetoddle,81.9,974,ice,none,112.6,79.8,213,1914594,50,1469,Ice Shard,Avalanche,Body Slam,5,4,3,50000
Clefable,81.9,36,fairy,none,117.2,111.5,146,1908090,23,1499,Fairy Wind,Moonblast,Meteor Mash,7,6,1,10000
Haunter,81.9,93,ghost,poison,161.2,85.5,100,1378532,28,1493,Shadow Claw,Ice Punch,Shadow Ball,5,7,3,50000
Hitmonchan,81.9,107,fighting,none,128.2,137.3,98,1725104,23.5,1490,Counter,Ice Punch,Thunder Punch,6,6,5,75000
Leafeon,81.9,470,grass,none,128.1,133.3,102,1742118,18.5,1496,Quick Attack,Leaf Blade,Last Resort,5,7,5,75000
Lileep,81.9,345,rock,grass,100.8,138.6,151,2111110,50,1460,Bullet Seed,Grass Knot,Ancient Power,4,4,3,50000
Mantyke,81.9,458,water,flying,100.8,163,120,1972572,50,1411,Bubble,Aerial Ace,Ice Beam,4,5,5,10000
Grimer (Shadow),81.7,88,poison,none,121.5,88,171,1827419,49.5,1493,Poison Jab,Mud Bomb,Sludge Bomb,6,8,3,50000
Lickilicky,81.7,463,normal,none,106.3,121.1,164,2111832,23,1498,Lick,Body Slam,Shadow Ball,12,19,3,50000
Primeape,81.7,57,fighting,none,140.2,99.2,115,1598880,24.5,1497,Counter,Ice Punch,Close Combat,6,7,3,50000
Scizor,81.7,212,bug,steel,137.9,110.3,106,1612512,18.5,1497,Bullet Punch,X-Scissor,Night Slash,6,5,5,75000
Tyrunt,81.7,696,rock,dragon,127.6,106.3,129,1749486,39.5,1499,Dragon Tail,Dragon Claw,Ancient Power,4,5,5,75000
Dartrix,81.6,723,grass,flying,112.3,116.8,152,1993822,34.5,1498,Leafage,Brave Bird,Seed Bomb,8,7,3,10000
Muk (Alolan) (Shadow),81.6,89,poison,dark,117.3,111.3,146,1906470,20.5,1497,Poison Jab,Dark Pulse,Acid Spray,8,7,3,50000
Victreebel,81.6,71,grass,poison,135.8,94.8,128,1648364,23,1500,Razor Leaf,Leaf Blade,Acid Spray,9,12,3,50000
Lapras,81.4,131,water,ice,104.7,114,179,2135530,21.5,1497,Ice Shard,Surf,Skull Bash,4,8,5,75000
Moltres (Galarian),81.4,146,dark,flying,115.1,137.5,122,1930734,17.5,1493,Wing Attack,Ancient Power,Brave Bird,6,7,20,100000
Cetitan,81.3,975,ice,none,120.7,75.9,203,1861103,18,1500,Ice Shard,Avalanche,Body Slam,5,4,3,50000
Gyarados (Shadow),81.3,130,water,flying,130.8,108,121,1708726,16.5,1498,Dragon Breath,Aqua Tail,Crunch,12,15,1,10000
Marowak,81.3,105,ground,none,110.8,145,126,2025310,32,1500,Mud Slap,Rock Slide,Bone Club,5,4,3,50000
Raticate (Alolan),81.3,20,dark,normal,107.5,130.7,148,2078413,37,1496,Quick Attack,Crunch,Return,6,9,1,10000
Blaziken,81.1,257,fire,fighting,144.4,90.8,118,1547820,19,1496,Counter,Blaze Kick,Blast Burn,6,8,3,10000
Probopass (Shadow),81.1,476,rock,steel,96.8,200,119,2305422,28,1497,Spark,Rock Slide,Zap Cannon,7,12,3,50000
Ariados,81,168,bug,poison,124.7,102,141,1793573,34,1497,Poison Sting,Lunge,Trailblaze,5,6,1,10000
Beedrill,81,15,bug,poison,127.6,106.2,129,1749201,31,1494,Poison Jab,X-Scissor,Drill Run,6,7,1,10000
Blastoise,81,9,water,none,111.5,140.7,127,1992357,22.5,1492,Water Gun,Hydro Cannon,Ice Beam,14,19,3,10000
Excadrill (Shadow),81,530,ground,steel,142.7,78.8,139,1561805,17,1494,Mud Shot,Drill Run,Rock Slide,5,5,3,50000
Froslass,81,478,ice,ghost,122.6,115.6,128,1813850,27.5,1496,Powder Snow,Avalanche,Shadow Ball,6,7,3,50000
Magcargo,81,219,fire,rock,110.2,157.9,116,2017737,36.5,1492,Incinerate,Rock Tomb,Overheat,3,3,1,10000
Registeel (Shadow),81,379,steel,none,95.5,189.6,130,2353244,23,1499,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Sandshrew (Alolan),81,27,ice,steel,117.6,121,127,1807853,50,1462,Powder Snow,Night Slash,Blizzard,5,10,3,50000
Amaura,80.8,698,rock,ice,114.3,104.2,164,1952869,50,1497,Powder Snow,Weather Ball (Ice),Thunderbolt,5,7,5,75000
Grovyle (Shadow),80.8,253,grass,none,137.4,101.7,117,1633904,37.5,1499,Bullet Seed,Leaf Blade,Aerial Ace,3,4,3,10000
Hawlucha,80.8,701,fighting,flying,128.9,108.8,124,1738490,23.5,1498,Poison Jab,Flying Press,Aerial Ace,6,6,5,75000
Muk (Shadow),80.8,89,poison,none,117.3,111.3,146,1906470,20.5,1497,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Escavalier,80.5,589,bug,steel,133.9,116.8,107,1673454,19.5,1499,Counter,Drill Run,Megahorn,7,8,3,50000
Ninetales (Shadow),80.5,38,fire,none,115.1,133.6,126,1936253,24.5,1494,Ember,Weather Ball (Fire),Overheat,6,10,3,50000
Rapidash,80.5,78,fire,none,134.7,110.9,111,1658326,22,1498,Incinerate,Drill Run,Flame Charge,3,3,3,50000
Drapion,80.4,452,poison,dark,118.5,136.5,117,1892269,23,1499,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Relicanth,80.4,369,water,rock,105.2,137.5,147,2126096,22.5,1498,Water Gun,Aqua Tail,Ancient Power,12,15,5,75000
Blaziken (Shadow),80.2,257,fire,fighting,144.4,90.8,118,1547820,19,1496,Counter,Blaze Kick,Blast Burn,6,8,3,10000
Gallade,80.2,475,psychic,fighting,137.2,114.5,104,1633015,18,1498,Confusion,Close Combat,Leaf Blade,4,3,5,75000
Gloom,80.2,44,grass,poison,122.6,114.9,130,1830873,37.5,1500,Razor Leaf,Sludge Bomb,Petal Blizzard,13,17,3,50000
Grotle,80.2,388,grass,none,118.3,116.1,138,1895093,30.5,1497,Razor Leaf,Body Slam,Energy Ball,9,14,3,10000
Oddish (Shadow),80.2,43,grass,poison,122.7,106.7,120,1571110,50,1389,Razor Leaf,Seed Bomb,Sludge Bomb,12,13,3,50000
Probopass,80.2,476,rock,steel,96.8,200,119,2305422,28,1497,Spark,Rock Slide,Zap Cannon,7,12,3,50000
Decidueye,80.1,724,grass,ghost,127.8,115.3,118,1739336,20,1492,Leafage,Frenzy Plant,Brave Bird,7,8,3,10000
Dusclops,80.1,356,ghost,none,103.1,198.9,106,2173343,43,1498,Hex,Ice Punch,Poltergeist,4,7,3,50000
Dusclops (Shadow),80.1,356,ghost,none,103.1,198.9,106,2173343,43,1498,Hex,Ice Punch,Poltergeist,4,7,3,50000
Eelektross,80.1,604,electric,none,134.4,98,127,1672478,20,1500,Spark,Dragon Claw,Thunderbolt,5,8,1,10000
Farfetch'd (Galarian),80.1,83,fighting,none,137.9,97.8,120,1618657,36.5,1494,Fury Cutter,Leaf Blade,Brave Bird,9,14,3,50000
Gallade (Shadow),80.1,475,psychic,fighting,137.2,114.5,104,1633015,18,1498,Confusion,Close Combat,Leaf Blade,4,3,5,75000
Grimer,80.1,88,poison,none,121.5,88,171,1827419,49.5,1493,Poison Jab,Mud Bomb,Sludge Bomb,6,8,3,50000
Hydreigon,80.1,635,dark,dragon,136.6,103.5,116,1639587,15,1499,Dragon Breath,Brutal Swing,Flash Cannon,14,24,5,75000
Hypno (Shadow),80.1,97,psychic,none,103.7,140.8,148,2160673,27.5,1499,Confusion,Thunder Punch,Fire Punch,4,4,3,50000
Seaking,80.1,119,water,none,123.1,105.9,140,1825075,26.5,1500,Poison Jab,Drill Run,Icy Wind,7,7,3,50000
Aromatisse,79.9,683,fairy,none,116.5,108,153,1924550,24,1497,Charm,Moonblast,Thunderbolt,10,10,3,50000
Flygon,79.9,330,ground,dragon,129.2,109.6,123,1740871,21,1499,Mud Shot,Dragon Claw,Scorching Sands,4,6,5,75000
Furret,79.9,162,normal,none,116.1,105.4,158,1933854,34.5,1500,Quick Attack,Dig,Brick Break,7,5,1,10000
Linoone (Galarian),79.9,264,dark,normal,114.6,112.2,152,1953755,39,1497,Snarl,Body Slam,Dig,3,4,1,10000
Muk (Alolan),79.9,89,poison,dark,117.3,111.3,146,1906470,20.5,1497,Poison Jab,Dark Pulse,Acid Spray,8,7,3,50000
Empoleon (Shadow),79.8,395,water,steel,125.8,115.9,122,1777988,19,1500,Waterfall,Hydro Cannon,Drill Peck,5,5,3,10000
Golem (Alolan),79.8,76,rock,electric,125.2,121.7,117,1782513,19,1497,Volt Switch,Wild Charge,Rock Blast,3,3,1,10000
Golurk (Shadow),79.8,623,ground,ghost,133.9,96.7,129,1671084,19.5,1500,Mud Slap,Shadow Punch,Earth Power,4,7,5,75000
Sceptile,79.8,254,grass,none,136.9,108.5,110,1633945,19.5,1497,Bullet Seed,Leaf Blade,Earthquake,3,5,3,10000
Suicune,79.8,245,water,none,107.4,141.9,137,2089025,18.5,1499,Snarl,Ice Beam,Scald,5,4,20,100000
Vileplume,79.8,45,grass,poison,129.1,110.9,121,1732053,22,1498,Razor Leaf,Sludge Bomb,Petal Blizzard,13,17,3,50000
Celesteela,79.6,797,steel,flying,119.6,119,131,1864503,18,1495,Smack Down,Body Slam,Iron Head,5,7,20,100000
Electivire (Shadow),79.6,466,electric,none,144,98,110,1552610,18,1498,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Haunter (Shadow),79.6,93,ghost,poison,161.2,85.5,100,1378532,28,1493,Shadow Claw,Ice Punch,Shadow Ball,5,7,3,50000
Kartana,79.6,798,grass,steel,170.7,98.8,78,1316087,15,1500,Razor Leaf,Leaf Blade,Night Slash,9,9,20,100000
Meowscarada,79.6,908,grass,dark,141.6,95,118,1586931,20,1500,Leafage,Night Slash,Grass Knot,5,8,3,10000
Qwilfish,79.6,211,water,poison,130.5,105.5,123,1693578,27,1490,Poison Sting,Aqua Tail,Sludge Wave,4,8,3,50000
Drifblim,79.5,426,ghost,flying,119.8,75,208,1867826,23,1498,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Muk,79.5,89,poison,none,117.3,111.3,146,1906470,20.5,1497,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Slurpuff,79.5,685,fairy,none,117.4,118.1,138,1912211,25.5,1499,Charm,Flamethrower,Energy Ball,10,10,3,50000
Forretress (Shadow),79.3,205,bug,steel,110.2,141.6,130,2028758,25,1496,Bug Bite,Earthquake,Mirror Shot,22,12,5,75000
Froslass (Shadow),79.3,478,ice,ghost,122.6,115.6,128,1813850,27.5,1496,Powder Snow,Avalanche,Shadow Ball,6,7,3,50000
Gourgeist (Super),79.3,711,ghost,grass,115.8,128.8,130,1939976,21.5,1499,Hex,Shadow Ball,Seed Bomb,5,4,5,75000
Sandslash,79.3,28,ground,none,120.5,121.1,126,1837863,23.5,1493,Mud Shot,Night Slash,Scorching Sands,4,6,3,50000
Sylveon,79.3,700,fairy,none,118.9,121.2,131,1888899,18.5,1498,Charm,Moonblast,Psyshock,10,8,5,75000
Excadrill,79.2,530,ground,steel,142.7,78.8,139,1561805,17,1494,Mud Shot,Drill Run,Rock Slide,5,5,3,50000
Quaxwell,79.2,913,water,none,124.7,103.1,139,1786476,32.5,1496,Wing Attack,Liquidation,Aerial Ace,6,5,3,10000
Staravia,79,397,normal,flying,131.9,91.6,135,1631281,50,1468,Wing Attack,Brave Bird,Fly,7,6,1,10000
Tangrowth,79,465,grass,none,121.8,112,135,1842421,18.5,1498,Vine Whip,Power Whip,Rock Slide,7,6,3,50000
Donphan,78.9,232,ground,none,125.8,112,126,1776372,18.5,1500,Counter,Body Slam,Earthquake,5,10,3,50000
Falinks,78.9,870,fighting,none,128.2,119.8,113,1735815,23.5,1494,Counter,Superpower,Megahorn,6,8,5,75000
Lapras (Shadow),78.9,131,water,ice,104.7,114,179,2135530,21.5,1497,Ice Shard,Surf,Skull Bash,4,8,5,75000
Oinkologne,78.9,916,normal,none,118.1,102.8,156,1895471,21,1499,Tackle,Body Slam,Dig,12,17,1,10000
Pyroar,78.9,668,fire,normal,135,98,125,1653456,20,1496,Incinerate,Flame Charge,Dark Pulse,3,3,3,10000
Raticate (Alolan) (Shadow),78.9,20,dark,normal,107.5,130.7,148,2078413,37,1496,Quick Attack,Crunch,Hyper Beam,6,10,1,10000
Drifblim (Shadow),78.7,426,ghost,flying,119.8,75,208,1867826,23,1498,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Ivysaur,78.7,2,grass,poison,118.6,121.7,130,1876886,36.5,1493,Vine Whip,Power Whip,Sludge Bomb,7,7,3,10000
Jirachi,78.7,385,steel,psychic,120.5,119.4,129,1855163,16.5,1498,Confusion,Doom Desire,Psychic,4,5,20,100000
Skuntank,78.7,435,poison,dark,121.7,95.2,157,1819546,23.5,1490,Poison Jab,Crunch,Trailblaze,7,8,3,50000
Beedrill (Shadow),78.6,15,bug,poison,127.6,106.2,129,1749201,31,1494,Poison Jab,X-Scissor,Drill Run,6,7,1,10000
Farfetch'd,78.6,83,normal,flying,116.8,109.2,131,1671469,50,1397,Fury Cutter,Leaf Blade,Aerial Ace,9,10,3,50000
Malamar,78.6,687,dark,psychic,118.5,117.1,136,1887141,24,1499,Psycho Cut,Superpower,Foul Play,5,5,3,50000
Perrserker,78.6,863,steel,none,128.9,114.6,117,1728225,23.5,1493,Shadow Claw,Close Combat,Foul Play,6,6,3,50000
Articuno (Galarian),78.4,144,psychic,flying,134.1,108.3,115,1671021,15.5,1498,Psycho Cut,Ancient Power,Brave Bird,5,7,20,100000
Castform (Sunny),78.4,351,fire,none,113.4,119.6,146,1979669,38.5,1499,Ember,Weather Ball (Fire),Solar Beam,6,14,5,75000
Leavanny,78.4,542,bug,grass,131,109,120,1713215,22,1499,Razor Leaf,Leaf Blade,X-Scissor,9,10,1,10000
Nidoking (Shadow),78.4,34,poison,ground,130.1,104.1,127,1719018,21.5,1498,Double Kick,Sand Tomb,Earth Power,4,5,3,50000
Primarina,78.4,730,water,fairy,131.9,116.8,110,1694382,17.5,1499,Charm,Disarming Voice,Hydro Pump,8,13,3,10000
Avalugg,78.3,713,ice,none,112.9,142.5,124,1994682,17.5,1500,Ice Fang,Avalanche,Body Slam,9,7,3,50000
Gourgeist (Large),78.3,711,ghost,grass,116.6,136.9,121,1930877,22.5,1500,Hex,Shadow Ball,Seed Bomb,5,4,5,75000
Blastoise (Shadow),78.1,9,water,none,111.5,140.7,127,1992357,22.5,1492,Water Gun,Hydro Cannon,Ice Beam,14,19,3,10000
Chandelure (Shadow),78.1,609,ghost,fire,151.4,106.9,91,1472749,16.5,1498,Incinerate,Shadow Ball,Flame Charge,3,3,5,75000
Golurk,78,623,ground,ghost,133.9,96.7,129,1671084,19.5,1500,Mud Slap,Shadow Punch,Earth Power,4,7,5,75000
Heliolisk,78,695,electric,normal,137.1,112,105,1612926,21,1493,Volt Switch,Breaking Swipe,Grass Knot,3,4,3,50000
Togekiss,78,468,fairy,flying,124.8,125.3,114,1783452,16.5,1495,Charm,Ancient Power,Aura Sphere,8,10,3,50000
Zapdos (Galarian),78,145,fighting,flying,135.2,106.2,115,1651425,15.5,1495,Counter,Ancient Power,Brave Bird,7,8,20,100000
Donphan (Shadow),77.8,232,ground,none,125.8,112,126,1776372,18.5,1500,Counter,Body Slam,Earthquake,5,10,3,50000
Empoleon,77.8,395,water,steel,125.8,115.9,122,1777988,19,1500,Waterfall,Hydro Cannon,Drill Peck,5,5,3,10000
Linoone,77.8,264,normal,none,114.6,112.2,152,1953755,39,1497,Shadow Claw,Grass Knot,Dig,7,7,1,10000
Lycanroc (Midnight),77.8,745,rock,none,134.3,101,123,1668138,20.5,1498,Counter,Stone Edge,Psychic Fangs,8,5,5,50000
Staravia (Shadow),77.8,397,normal,flying,131.9,91.6,135,1631281,50,1468,Wing Attack,Brave Bird,Fly,7,6,1,10000
Golduck (Shadow),77.7,55,water,none,125.5,112.2,127,1787063,22.5,1499,Water Gun,Cross Chop,Liquidation,12,15,3,50000
Grimer (Alolan),77.7,88,poison,dark,123.6,86,171,1818779,49,1500,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Barbaracle,77.5,689,rock,water,120.4,133.1,115,1841752,20.5,1492,Fury Cutter,Stone Edge,Cross Chop,14,9,3,50000
Gardevoir,77.5,282,psychic,fairy,137.2,114.5,104,1633015,18,1498,Charm,Triple Axel,Shadow Ball,8,10,5,75000
Revavroom,77.5,966,steel,poison,135.7,106.6,114,1648064,19,1499,Poison Jab,Overheat,Acid Spray,8,7,3,50000
Sandshrew (Alolan) (Shadow),77.5,27,ice,steel,117.6,121,127,1807853,50,1462,Powder Snow,Night Slash,Blizzard,5,10,3,50000
Turtonator,77.5,776,fire,dragon,114.2,153,112,1956666,25,1496,Incinerate,Dragon Pulse,Overheat,3,3,5,75000
Typhlosion,77.5,157,fire,none,132.2,108.3,117,1674892,19,1488,Incinerate,Blast Burn,Solar Beam,3,4,3,10000
Electrode (Hisuian),77.4,101,electric,grass,123.3,130.1,113,1812571,26,1495,Thunder Shock,Wild Charge,Energy Ball,5,7,3,50000
Granbull,77.4,210,fairy,none,135.3,87.7,139,1650182,22,1494,Charm,Close Combat,Crunch,8,8,3,50000
Manectric,77.4,310,electric,none,142.5,91.3,120,1561030,23.5,1494,Snarl,Wild Charge,Psychic Fangs,4,3,3,50000
Sudowoodo,77.4,185,rock,none,117.2,130.1,125,1905357,26,1496,Counter,Meteor Beam,Rock Slide,9,7,5,75000
Typhlosion (Shadow),77.4,157,fire,none,132.2,108.3,117,1674892,19,1488,Incinerate,Blast Burn,Solar Beam,3,4,3,10000
Bayleef,77.2,153,grass,none,105.6,141.6,141,2107468,49.5,1494,Razor Leaf,Grass Knot,Ancient Power,13,12,3,10000
Castform,77.2,351,normal,none,113.4,119.6,146,1979669,38.5,1499,Hex,Weather Ball (Rock),Energy Ball,3,5,5,75000
Gourgeist (Small),77.2,711,ghost,grass,117,153.4,106,1903085,24.5,1495,Hex,Shadow Ball,Seed Bomb,5,4,5,75000
Vaporeon,77.2,134,water,none,119,97.2,163,1886587,17.5,1499,Water Gun,Aqua Tail,Last Resort,12,19,5,75000
Yanma,77.2,193,bug,flying,131.6,87.4,148,1702917,48.5,1498,Wing Attack,Aerial Ace,Silver Wind,5,6,3,50000
Bronzong,77.1,437,steel,psychic,111.3,151.8,119,2010401,25.5,1498,Confusion,Psyshock,Payback,4,5,3,50000
Grimer (Alolan) (Shadow),77.1,88,poison,dark,123.6,86,171,1818779,49,1500,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Hariyama,77.1,297,fighting,none,125.6,75.5,186,1764581,19.5,1492,Counter,Close Combat,Heavy Slam,7,8,3,50000
Latias (Shadow),77.1,380,dragon,psychic,124.5,137.9,105,1802286,16,1499,Dragon Breath,Mist Ball,Thunder,20,20,20,100000
Lopunny,77.1,428,normal,none,112.1,146.4,121,1985734,27.5,1493,Double Kick,Triple Axel,Focus Blast,4,7,3,50000
Palossand,77.1,770,ghost,ground,116.6,120.4,136,1909914,23,1494,Mud Shot,Scorching Sands,Shadow Ball,6,7,3,50000
Rayquaza,77.1,384,dragon,flying,146.5,92,113,1522152,14,1496,Dragon Tail,Breaking Swipe,Dragon Ascent,4,8,20,100000
Sandshrew (Shadow),77.1,27,ground,none,118.5,113.4,127,1706968,50,1426,Mud Shot,Dig,Rock Slide,6,5,3,50000
Amoonguss,76.9,591,grass,poison,110.4,102,181,2038411,27,1500,Astonish,Grass Knot,Foul Play,5,5,3,50000
Cryogonal,76.9,615,ice,none,116.5,136.2,121,1919929,20,1497,Ice Shard,Triple Axel,Night Slash,5,4,5,75000
Hariyama (Shadow),76.9,297,fighting,none,125.6,75.5,186,1764581,19.5,1492,Counter,Close Combat,Heavy Slam,7,8,3,50000
Poliwhirl,76.9,61,water,none,115.1,114.3,148,1947108,50,1500,Bubble,Scald,Mud Bomb,5,4,3,50000
Scyther (Shadow),76.9,123,bug,flying,134.9,110.7,111,1657053,20.5,1496,Fury Cutter,Night Slash,Aerial Ace,9,10,5,75000
Wailord (Shadow),76.9,321,water,none,119.6,66.8,235,1876670,25,1500,Water Gun,Surf,Scald,14,17,1,10000
Cherrim (Sunshine),76.8,421,grass,none,122.9,115.2,129,1826290,27,1498,Bullet Seed,Weather Ball (Fire),Solar Beam,3,7,1,10000
Spinda,76.8,327,normal,none,110.1,110.1,142,1720678,50,1380,Psycho Cut,Icy Wind,Dig,5,6,3,50000
Torterra,76.8,389,grass,ground,120.5,117.6,131,1857185,19,1496,Razor Leaf,Frenzy Plant,Stone Edge,12,14,3,10000
Vullaby,76.8,629,dark,flying,100.8,129.4,157,2048662,50,1437,Feint Attack,Brave Bird,Foul Play,10,8,5,75000
Wailord,76.8,321,water,none,119.6,66.8,235,1876670,25,1500,Water Gun,Surf,Scald,14,17,1,10000
Electabuzz (Shadow),76.6,125,electric,none,130.9,112.6,115,1694299,24,1490,Thunder Shock,Thunder Punch,Thunderbolt,5,7,5,75000
Staraptor,76.6,398,normal,flying,140.4,90.8,124,1581461,19.5,1492,Wing Attack,Fly,Close Combat,6,6,1,10000
Carnivine,76.5,455,grass,none,130.2,101.2,130,1712621,25.5,1498,Vine Whip,Power Whip,Crunch,7,6,5,75000
Fletchinder,76.5,662,fire,flying,123,103.2,142,1801392,47,1492,Steel Wing,Fly,Aerial Ace,7,6,1,10000
Gourgeist (Average),76.5,711,ghost,grass,116.6,147,112,1919131,23.5,1500,Hex,Shadow Ball,Seed Bomb,5,4,5,75000
Ledian,76.5,166,bug,flying,101.9,161.2,134,2201440,49,1500,Bug Bite,Aerial Ace,Dynamic Punch,14,17,1,10000
Gyarados,76.3,130,water,flying,130.8,108,121,1708726,16.5,1498,Waterfall,Aqua Tail,Crunch,5,6,1,10000
Piloswine,76.3,221,ice,ground,121.1,98.2,155,1842165,24,1497,Powder Snow,Avalanche,High Horsepower,6,8,3,50000
Sneasel (Hisuian),76.3,215,fighting,poison,135.5,110.7,110,1649923,26.5,1499,Poison Jab,Close Combat,Aerial Ace,7,6,3,50000
Sneasel (Hisuian) (Shadow),76.3,215,fighting,poison,135.5,110.7,110,1649923,26.5,1499,Poison Jab,Close Combat,Aerial Ace,7,6,3,50000
Spritzee,76.3,682,fairy,none,105,107.6,168,1898008,50,1415,Charm,Thunderbolt,Draining Kiss,10,10,3,50000
Garchomp (Shadow),76.2,445,dragon,ground,132.5,102.5,124,1683122,14,1495,Dragon Tail,Sand Tomb,Outrage,5,7,5,75000
Seviper,76.2,336,poison,none,138.8,89.5,130,1616076,27,1500,Poison Jab,Crunch,Poison Fang,7,6,3,50000
Electrode,76,101,electric,none,123.1,127.2,116,1816610,26.5,1496,Volt Switch,Discharge,Foul Play,3,3,3,50000
Rapidash (Galarian),76,78,psychic,fairy,134.7,110.9,111,1658326,22,1498,Fairy Wind,Body Slam,Play Rough,4,7,3,50000
Machop (Shadow),75.9,66,fighting,none,127.7,81.5,157,1634495,50,1445,Karate Chop,Cross Chop,Brick Break,5,5,3,50000
Purugly,75.9,432,normal,none,125.5,105.5,133,1762021,28.5,1489,Shadow Claw,Aerial Ace,Thunder,5,8,3,50000
Tirtouga,75.9,564,water,rock,113.9,132,130,1955087,47,1494,Water Gun,Surf,Body Slam,14,12,5,75000
Ursaring,75.9,217,normal,none,140.3,89.1,128,1600223,19,1499,Shadow Claw,Close Combat,Trailblaze,6,7,3,50000
Dugtrio,75.7,51,ground,none,136.4,120.5,99,1627049,41.5,1495,Mud Shot,Mud Bomb,Stone Edge,5,7,3,50000
Exeggutor (Alolan) (Shadow),75.7,103,grass,dragon,134.4,94.2,131,1659647,18.5,1493,Dragon Tail,Seed Bomb,Draco Meteor,5,8,3,50000
Magneton,75.7,82,electric,steel,144.7,112.8,95,1550755,22,1500,Volt Switch,Discharge,Magnet Bomb,3,3,3,50000
Magneton (Shadow),75.7,82,electric,steel,144.7,112.8,95,1550755,22,1500,Volt Switch,Magnet Bomb,Discharge,3,3,3,50000
Milotic,75.6,350,water,none,113.2,132.2,132,1974479,18.5,1495,Dragon Tail,Surf,Blizzard,5,9,5,75000
